series_id,country_code,country_name,year,value
NY.GDP.MKTP.CD,USA,United States,2023,2.74E+13
NY.GDP.MKTP.CD,USA,United States,2022,2.57E+13
NY.GDP.MKTP.CD,USA,United States,2021,2.36E+13
NY.GDP.MKTP.CD,USA,United States,2020,2.13E+13
NY.GDP.MKTP.CD,USA,United States,2019,2.15E+13
NY.GDP.MKTP.CD,USA,United States,2018,2.07E+13
NY.GDP.MKTP.CD,USA,United States,2017,1.96E+13
NY.GDP.MKTP.CD,USA,United States,2016,1.88E+13
NY.GDP.MKTP.CD,USA,United States,2015,1.83E+13
NY.GDP.MKTP.CD,USA,United States,2014,1.76E+13
NY.GDP.MKTP.CD,USA,United States,2013,1.69E+13
NY.GDP.MKTP.CD,USA,United States,2012,1.63E+13
NY.GDP.MKTP.CD,USA,United States,2011,1.56E+13
NY.GDP.MKTP.CD,USA,United States,2010,1.50E+13
NY.GDP.MKTP.CD,USA,United States,2009,1.45E+13
NY.GDP.MKTP.CD,USA,United States,2008,1.48E+13
NY.GDP.MKTP.CD,USA,United States,2007,1.45E+13
NY.GDP.MKTP.CD,USA,United States,2006,1.38E+13
NY.GDP.MKTP.CD,USA,United States,2005,1.30E+13
NY.GDP.MKTP.CD,USA,United States,2004,1.22E+13
NY.GDP.MKTP.CD,USA,United States,2003,1.15E+13
NY.GDP.MKTP.CD,USA,United States,2002,1.09E+13
NY.GDP.MKTP.CD,USA,United States,2001,1.06E+13
NY.GDP.MKTP.CD,USA,United States,2000,1.03E+13
NY.GDP.MKTP.CD,USA,United States,1999,9.63E+12
NY.GDP.MKTP.CD,USA,United States,1998,9.06E+12
NY.GDP.MKTP.CD,USA,United States,1997,8.58E+12
NY.GDP.MKTP.CD,USA,United States,1996,8.07E+12
NY.GDP.MKTP.CD,USA,United States,1995,7.64E+12
NY.GDP.MKTP.CD,USA,United States,1994,7.29E+12
NY.GDP.MKTP.CD,USA,United States,1993,6.86E+12
NY.GDP.MKTP.CD,USA,United States,1992,6.52E+12
NY.GDP.MKTP.CD,USA,United States,1991,6.16E+12
NY.GDP.MKTP.CD,USA,United States,1990,5.96E+12
NY.GDP.MKTP.CD,USA,United States,1989,5.64E+12
NY.GDP.MKTP.CD,USA,United States,1988,5.24E+12
NY.GDP.MKTP.CD,USA,United States,1987,4.86E+12
NY.GDP.MKTP.CD,USA,United States,1986,4.58E+12
NY.GDP.MKTP.CD,USA,United States,1985,4.34E+12
NY.GDP.MKTP.CD,USA,United States,1984,4.04E+12
NY.GDP.MKTP.CD,USA,United States,1983,3.63E+12
NY.GDP.MKTP.CD,USA,United States,1982,3.34E+12
NY.GDP.MKTP.CD,USA,United States,1981,3.21E+12
NY.GDP.MKTP.CD,USA,United States,1980,2.86E+12
NY.GDP.MKTP.CD,USA,United States,1979,2.63E+12
NY.GDP.MKTP.CD,USA,United States,1978,2.35E+12
NY.GDP.MKTP.CD,USA,United States,1977,2.08E+12
NY.GDP.MKTP.CD,USA,United States,1976,1.87E+12
NY.GDP.MKTP.CD,USA,United States,1975,1.68E+12
NY.GDP.MKTP.CD,USA,United States,1974,1.55E+12
NY.GDP.MKTP.CD,USA,United States,1973,1.43E+12
