year,CAN,CHN,DEU,FRA,GBR,IND,ITA,JPN,RUS,USA
2013,1.85E+12,9.57E+12,3.73E+12,2.81E+12,2.78E+12,1.86E+12,2.14E+12,5.21E+12,2.29E+12,1.69E+13
2014,1.81E+12,1.05E+13,3.89E+12,2.86E+12,3.06E+12,2.04E+12,2.16E+12,4.9E+12,2.06E+12,1.76E+13
2015,1.56E+12,1.11E+13,3.36E+12,2.44E+12,2.93E+12,2.1E+12,1.84E+12,4.44E+12,1.36E+12,1.83E+13
2016,1.53E+12,1.12E+13,3.47E+12,2.47E+12,2.69E+12,2.29E+12,1.88E+12,5E+12,1.28E+12,1.88E+13
2017,1.65E+12,1.23E+13,3.69E+12,2.6E+12,2.68E+12,2.65E+12,1.96E+12,4.93E+12,1.57E+12,1.96E+13
2018,1.73E+12,1.39E+13,3.97E+12,2.79E+12,2.87E+12,2.7E+12,2.09E+12,5.04E+12,1.66E+12,2.07E+13
2019,1.74E+12,1.43E+13,3.89E+12,2.73E+12,2.85E+12,2.84E+12,2.01E+12,5.12E+12,1.69E+12,2.15E+13
2020,1.66E+12,1.47E+13,3.89E+12,2.65E+12,2.7E+12,2.67E+12,1.9E+12,5.06E+12,1.49E+12,2.13E+13
2021,2.01E+12,1.78E+13,4.28E+12,2.96E+12,3.14E+12,3.17E+12,2.15E+12,5.03E+12,1.84E+12,2.36E+13
2022,2.16E+12,1.79E+13,4.08E+12,2.78E+12,3.09E+12,3.35E+12,2.07E+12,4.26E+12,2.27E+12,2.57E+13
2023,2.14E+12,1.78E+13,4.46E+12,3.03E+12,3.34E+12,3.55E+12,2.25E+12,4.21E+12,2.02E+12,2.74E+13
