City_ID,country_code,year,GDP (USD),Net Energy Imports (%)
1,USA,2014,17600000000000.0,9.214465501072144
58,USA,2013,16900000000000.0,13.943431510190653
115,USA,2012,16300000000000.0,15.69172908920509
172,USA,2011,15600000000000.0,18.55497675971601
229,USA,2010,15000000000000.0,22.209200898212718
286,USA,2009,14500000000000.0,22.12498370263121
343,USA,2008,14800000000000.0,25.264071370046832
400,USA,2007,14500000000000.0,28.585606884949023
457,USA,2006,13800000000000.0,27.972123426391683
514,USA,2005,13000000000000.0,29.659179283594437
571,USA,2004,12200000000000.0,28.695570693338627
628,USA,2003,11500000000000.0,27.72618061766504
685,USA,2002,10900000000000.0,26.60412855113004
742,USA,2001,10600000000000.0,24.30053716669053
799,USA,2000,10300000000000.0,26.659419586712296
856,USA,1999,9630000000000.0,24.457411175976887
913,USA,1998,9060000000000.0,21.56989414947736
970,USA,1997,8580000000000.0,21.50982494949271
1027,USA,1996,8070000000000.0,20.58353481783629
1084,USA,1995,7640000000000.0,19.74084642421358
1141,USA,1994,7290000000000.0,18.79600376212264
1198,USA,1993,6860000000000.0,20.28709267543397
1255,USA,1992,6520000000000.0,16.338529620164202
1312,USA,1991,6160000000000.0,14.942707646395435
1369,USA,1990,5960000000000.0,13.70963091339235
1400,RUS,2014,2060000000000.0,-83.67054072067974
1426,RUS,2013,2290000000000.0,-83.84123984904029
1452,RUS,2012,2210000000000.0,-77.8561096295228
1478,RUS,2011,2050000000000.0,-80.0042989975367
1504,RUS,2010,1520000000000.0,-85.84724400445596
1530,RUS,2009,1220000000000.0,-84.02162871015723
1556,RUS,2008,1660000000000.0,-82.1331243647021
1582,RUS,2007,1300000000000.0,-84.232474302143
1608,RUS,2006,990000000000.0,-82.95042525918839
1634,RUS,2005,764000000000.0,-84.62870389913529
1660,RUS,2004,591000000000.0,-81.08263408210908
1686,RUS,2003,430000000000.0,-73.4721624068744
1712,RUS,2002,345000000000.0,-67.91521340038048
1738,RUS,2001,307000000000.0,-61.0565567408374
1764,RUS,2000,260000000000.0,-57.92622644882296
1790,RUS,1999,196000000000.0,-57.98271699278104
1816,RUS,1998,271000000000.0,-59.834798043459216
1842,RUS,1997,405000000000.0,-55.0612488496402
1868,RUS,1996,392000000000.0,-53.15386961580175
1894,RUS,1995,396000000000.0,-51.97849530803379
1920,RUS,1994,395000000000.0,-50.90907808956878
1946,RUS,1993,435000000000.0,-40.77225887969839
1972,RUS,1992,460000000000.0,-43.1199493331647
1998,RUS,1991,518000000000.0,-39.80518317626223
2024,RUS,1990,517000000000.0,-47.0788556238582
2026,JPN,2014,4900000000000.0,93.98125951657956
2083,JPN,2013,5210000000000.0,93.91862662766074
2140,JPN,2012,6270000000000.0,93.82704712482813
2197,JPN,2011,6230000000000.0,88.93691414718518
2254,JPN,2010,5760000000000.0,80.14407830924529
2311,JPN,2009,5290000000000.0,80.36108289264385
2368,JPN,2008,5110000000000.0,82.34586692738463
2425,JPN,2007,4580000000000.0,82.64541564545547
2482,JPN,2006,4600000000000.0,80.71502475897343
2539,JPN,2005,4830000000000.0,80.92420742742779
2596,JPN,2004,4890000000000.0,82.07032778526965
